MAF		all_extron	
MYCN		all_extron	
PDK1		all_extron	
RAF1		all_extron	
STAG2		all_extron	
BCL2		all_extron	
CDC73		all_extron	
DIS3		all_extron	
FGF3		all_extron	
HSD3B1		all_extron	
MAP2K1		all_extron	
MYD88		all_extron	
PIK3C2B		all_extron	
RARA		all_extron	
STAT3		all_extron	
BCL2L1		all_extron	
CDH1		all_extron	
DNMT3A		all_extron	
FGF4		all_extron	
ID3		all_extron	
MAP2K2		all_extron	
NBN		all_extron	
PIK3C2G		all_extron	
RB1		all_extron	
STK11		all_extron	
BCL2L2		all_extron	
CDK12		all_extron	
DOT1L		all_extron	
FGF6		all_extron	
IDH1		all_extron	
MAP2K4		all_extron	
NF1		all_extron	
PIK3CA		all_extron	
RBM10		all_extron	
SUFU		all_extron	
BCL6		all_extron	
CDK4		all_extron	
EED		all_extron	
FGFR1		all_extron	
IDH2		all_extron	
MAP3K1		all_extron	
NF2		all_extron	
PIK3CB		all_extron	
REL		all_extron	
SYK		all_extron	
BCOR		all_extron	
CDK6		all_extron	
EGFR		all_extron	
FGFR2		all_extron	
IGF1R		all_extron	
MAP3K13		all_extron	
NFE2L2		all_extron	
PIK3R1		all_extron	
RET		all_extron	
TBX3		all_extron	
BCORL1		all_extron	
CDK8		all_extron	
EP300		all_extron	
FGFR3		all_extron	
IKBKE		all_extron	
MAPK1		all_extron	
NFKBIA		all_extron	
PIM1		all_extron	
RICTOR		all_extron	
TEK		all_extron	
ALK		selected_intron	introns 18,19
BRCA1		selected_intron	introns 2,7,8,12,16,19,20
ETV4		selected_intron	intron 8
EZR		selected_intron	introns 9-11
KIT		selected_intron	intron 16
MYC		selected_intron	intron 1
NUTM1		selected_intron	intron 1
RET		selected_intron	introns 7-11
SLC34A2		selected_intron	intron 4
BCL2		selected_intron	3’utr
BRCA2		selected_intron	intron 2
ETV5		selected_intron	introns 6,7
FGFR1		selected_intron	intron 1,5,17
KMT2A	MLL	selected_intron	introns 6-11
NOTCH2		selected_intron	intron 26
PDGFRA		selected_intron	introns 7,9,11
ROS1		selected_intron	introns 31-35
TERC		selected_intron	ncrna
BCR		selected_intron	introns 8,13,14
CD74		selected_intron	introns 6-8
ETV6		selected_intron	introns 5,6
FGFR2		selected_intron	intron 1,17
MSH2		selected_intron	intron 5
NTRK1		selected_intron	introns 8-11
RAF1		selected_intron	introns 4-8
RSPO2		selected_intron	intron 1
TERT		selected_intron	promoter
BRAF		selected_intron	introns 7-10
EGFR		selected_intron	introns 7,15,24-27
EWSR1		selected_intron	introns 7-13
FGFR3		selected_intron	intron 17
MYB		selected_intron	intron 14
NTRK2		selected_intron	intron 12
RARA		selected_intron	intron 2
SDC4		selected_intron	intron 2
TMPRSS2		selected_intron	introns 1-3
