gene_name	alt_name	region	info
CD74		intron	6,7,8
ETV6		intron	5,6
FGFR2		intron	1,17
MSH2		intron	5
NTRK1		intron	8,9,10,11
RAF1		intron	4,5,6,7,8
RSPO2		intron	1
TERT		promoter	
BRAF		intron	7,8,9,10
EGFR		intron	7,15,24,25,26,27
EWSR1		intron	7,8,9,10,11,12,13
FGFR3		intron	17
MYB		intron	14
NTRK2		intron	12
RARA		intron	2
SDC4		intron	2
TMPRSS2		intron	1,2,3
